Numbers are ﻿-97 and 90 are wrong
Numbers are 72 and -58 are wrong
Numbers are -1 and 10 are wrong
Numbers are 19 and -40 are wrong
Numbers are -2 and -55 are wrong
Numbers are 70 and -2 are wrong
Numbers are -38 and -50 are wrong
Numbers are 28 and 96 are wrong
Numbers are 78 and -3 are wrong
Numbers are -44 and -59 are wrong
Numbers are 78 and -56 are wrong
Numbers are -57 and 60 are wrong
Numbers are -22 and 16 are wrong
Numbers are 16 and 81 are wrong
Numbers are -69 and -71 are wrong
Numbers are -48 and 41 are wrong
Numbers are -65 and 73 are wrong
Numbers are -67 and 78 are wrong
Numbers are -26 and 8 are wrong
Numbers are 9 and 34 are wrong
Numbers are 42 and -5 are wrong
Numbers are 83 and -50 are wrong
Numbers are -4 and -16 are wrong
Numbers are -55 and 33 are wrong
Numbers are -45 and 91 are wrong
Numbers are 2 and 17 are wrong
Numbers are 71 and 86 are wrong
Numbers are 76 and 87 are wrong
Numbers are 36 and 98 are wrong
Numbers are -99 and 39 are wrong
Numbers are -52 and -91 are wrong
Numbers are -83 and 40 are wrong
Numbers are 0 and 88 are wrong
Numbers are -91 and 70 are wrong
Numbers are -36 and 35 are wrong
Numbers are -2 and 13 are wrong
Numbers are -93 and 92 are wrong
Numbers are -3 and -92 are wrong
Numbers are -24 and -85 are wrong
Numbers are 79 and -53 are wrong
Numbers are 13 and 83 are wrong
Numbers are 3 and -78 are wrong
Numbers are 12 and 21 are wrong
Numbers are 6 and -44 are wrong
Numbers are -61 and -88 are wrong
Numbers are 17 and -65 are wrong
Numbers are 16 and 32 are wrong
Numbers are -18 and 3 are wrong
Numbers are 33 and -62 are wrong
Numbers are -86 and 56 are wrong
Numbers are 15 and -27 are wrong
Numbers are -71 and -81 are wrong
Numbers are 61 and -37 are wrong
Numbers are -11 and -76 are wrong
Numbers are -5 and -29 are wrong
Numbers are -96 and 32 are wrong
Numbers are -39 and 90 are wrong
Numbers are 43 and 69 are wrong
Numbers are 76 and -8 are wrong
Numbers are 10 and -24 are wrong
Numbers are -64 and 59 are wrong
Numbers are -5 and -28 are wrong
Numbers are -87 and 70 are wrong
Numbers are -94 and 33 are wrong
Numbers are -81 and 93 are wrong
